2026-04-10 16:45:38 | GET | meus-planos-api/categorias
2026-04-10 16:45:38 | GET | meus-planos-api/itens
2026-04-10 16:46:21 | GET | meus-planos-api/categorias
2026-04-10 16:46:38 | GET | meus-planos-api/categorias
2026-04-10 16:46:47 | GET | meus-planos-api/categorias
2026-04-10 16:46:50 | GET | meus-planos-api/categorias
2026-04-10 16:46:56 | GET | meus-planos-api/categorias
2026-04-10 16:48:51 | GET | meus-planos-api/categorias
2026-04-10 16:48:51 | GET | meus-planos-api/itens
2026-04-10 16:48:55 | GET | meus-planos-api/categorias
2026-04-10 16:48:55 | GET | meus-planos-api/categorias
2026-04-10 16:48:55 | GET | meus-planos-api/itens
2026-04-10 16:49:36 | GET | meus-planos-api/categorias
2026-04-10 16:49:36 | GET | meus-planos-api/itens
2026-04-10 16:49:39 | GET | meus-planos-api/categorias
2026-04-10 16:49:44 | OPTIONS | meus-planos-api/categorias
2026-04-10 16:49:44 | POST | meus-planos-api/categorias
2026-04-10 16:49:44 | GET | meus-planos-api/categorias
2026-04-10 16:49:46 | OPTIONS | meus-planos-api/categorias/6
2026-04-10 16:49:46 | DELETE | meus-planos-api/categorias/6
2026-04-10 16:49:46 | GET | meus-planos-api/categorias
2026-04-10 16:49:47 | GET | meus-planos-api/categorias
2026-04-10 16:49:47 | GET | meus-planos-api/itens
2026-04-10 16:49:52 | OPTIONS | meus-planos-api/itens
2026-04-10 16:49:52 | POST | meus-planos-api/itens
2026-04-10 16:49:52 | GET | meus-planos-api/itens
2026-04-10 16:49:55 | OPTIONS | meus-planos-api/itens/3
2026-04-10 16:49:55 | PUT | meus-planos-api/itens/3
2026-04-10 16:49:55 | GET | meus-planos-api/itens
2026-04-10 16:49:57 | DELETE | meus-planos-api/itens/3
2026-04-10 16:49:57 | GET | meus-planos-api/itens
2026-04-10 16:50:24 | OPTIONS | meus-planos-api/itens
2026-04-10 16:50:24 | POST | meus-planos-api/itens
2026-04-10 16:50:24 | GET | meus-planos-api/itens
2026-04-10 16:50:28 | GET | meus-planos-api/categorias
2026-04-10 16:51:24 | GET | meus-planos-api/categorias
2026-04-10 16:51:24 | GET | meus-planos-api/itens
2026-04-10 16:51:31 | GET | meus-planos-api/categorias
